Iteration,Policy Loss,Value Loss
1161,0.0341,0.0001
1162,0.0271,0.0066
1163,0.0047,0.0
1164,0.0269,0.0001
1165,0.0253,0.0
1166,0.0042,0.0003
1167,0.0767,0.0
1168,0.0679,0.0003
1169,0.0366,0.0
1170,0.0576,0.0
1171,0.0393,0.0048
1172,0.0337,0.0001
1173,0.0396,0.0
1174,0.0072,0.0
1175,0.027,0.0
1176,0.0543,0.0
1177,0.0192,0.0003
1178,0.0171,0.0
1179,0.009,0.0
1180,0.0151,0.0025
1181,0.0097,0.0
1182,0.0032,0.0
1183,0.0405,0.0033
1184,0.3971,0.0
1185,0.0088,0.0001
